Time [s], Analyzer Name, Decoded Protocol Result
0.004111750000000,I2C,Setup Write to ['208' (0xD0)] + ACK
0.004328000000000,I2C,u (0x75) + ACK
0.004580250000000,I2C,Setup Read to ['209' (0xD1)] + ACK
0.004796500000000,I2C,h (0x68) + NAK
0.005101750000000,I2C,Setup Write to ['208' (0xD0)] + ACK
0.005318000000000,I2C,k (0x6B) + ACK
0.005570250000000,I2C,Setup Write to ['208' (0xD0)] + ACK
0.005786250000000,I2C,'0' (0x00) + ACK
0.006038500000000,I2C,Setup Read to ['209' (0xD1)] + ACK
0.006254750000000,I2C,n (0x6E) + ACK
0.006471000000000,I2C,'0' (0x00) + ACK
0.006687250000000,I2C,'129' (0x81) + ACK
0.006903500000000,I2C,'174' (0xAE) + ACK
0.007119750000000,I2C,'204' (0xCC) + ACK
0.007336000000000,I2C,'222' (0xDE) + NAK
0.007637250000000,I2C,Setup Write to ['208' (0xD0)] + ACK
0.007853500000000,I2C,; (0x3B) + ACK
0.008105750000000,I2C,Setup Read to ['209' (0xD1)] + ACK
0.008322000000000,I2C,'195' (0xC3) + ACK
0.008538000000000,I2C,( (0x28) + ACK
0.008754250000000,I2C,'6' (0x06) + ACK
0.008970500000000,I2C,'20' (0x14) + ACK
0.009187000000000,I2C,'234' (0xEA) + ACK
0.009403250000000,I2C,'224' (0xE0) + NAK
0.009704500000000,I2C,Setup Write to ['208' (0xD0)] + ACK
0.009920750000000,I2C,u (0x75) + ACK
0.010173000000000,I2C,Setup Read to ['209' (0xD1)] + ACK
0.010389250000000,I2C,h (0x68) + NAK
0.010701500000000,I2C,Setup Write to ['208' (0xD0)] + ACK
0.010918000000000,I2C,'28' (0x1C) + ACK
0.011134250000000,I2C,'24' (0x18) + ACK
